,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
22-rdf-syntax-ns#first,0.85776526,-0.33125582,-1.6772845,1.7772167,-0.9588653,-3.75474,-0.5076914,0.8889104,2.6127667,0.42084563,1.4477342,0.5180283,0.12328317,-1.7842424,-0.38262743,2.6628702,1.0766226,0.7575681,0.687418,-0.21322383,-0.792665,-3.3626175,-0.6879241,-1.2310969,-0.49154365,-0.80461395,0.6460574,-1.8744406,-0.6462979,-1.1587312,0.25385448,-0.29000995,-2.6528575,0.20745914,1.7869835,1.4118156,-0.46891636,1.1170728,1.8965806,-1.1319605
22-rdf-syntax-ns#first_reverse,0.31381485,0.45485643,1.4287323,1.5087506,-0.7053209,0.9982883,-4.6363916,-0.50322795,1.635086,-0.46810088,0.6304744,0.11154739,0.09435484,-3.6449866,0.5535202,0.30986646,0.31342432,-0.8490632,-1.5002234,0.19805348,1.0843076,-1.8183105,-0.26628953,2.75542,0.24447194,0.8416969,-3.654829,0.32047963,0.108006,0.7730031,-0.3560873,1.227207,-1.7661065,-0.3560668,0.68165463,-1.5058674,-2.059499,0.19036952,-0.78678006,-1.851515
22-rdf-syntax-ns#rest,-0.03804102,0.87099105,0.22221853,0.6904741,0.14708002,1.5697206,-4.3831453,-0.7382338,0.8435348,0.43678293,-0.5896055,2.391251,0.54064447,-2.4619071,-0.6443197,0.7331752,-0.37143594,0.81428003,-2.2352254,1.9628716,0.44743663,-2.2375035,0.5913929,1.7779783,-0.35511634,-0.16715582,-1.896302,-0.26835376,-0.15271525,0.28024074,-0.2165912,-0.07704658,-2.0539215,-1.195265,0.5620732,0.52260923,-1.9872359,-0.7578864,-1.1110463,-0.3302904
22-rdf-syntax-ns#rest_reverse,-0.39865074,0.85324204,0.38738248,0.4634408,-0.76809883,2.1478348,-4.4986835,-0.252052,0.73065877,0.1688554,-0.32987306,1.4835745,0.94253737,-2.4823804,-1.5070974,1.2013886,-0.3505267,1.3308163,-1.8627245,1.7748476,0.20832837,-1.3612792,0.38377643,0.91106296,0.32262963,-0.91992533,-2.1221106,-0.17940617,0.07428444,1.0184133,-0.4424419,0.5501414,-2.388508,-0.78084576,0.19486354,0.8504563,-1.2964842,-0.18077248,-1.768665,-0.600412
22-rdf-syntax-ns#type,-0.119333796,-1.1589423,0.22221199,-0.98001075,0.5073359,0.5846542,1.0449461,0.7888439,1.5368127,-2.6414905,1.2234534,1.5761567,-1.4672247,0.37724224,-1.4416764,0.26764157,1.4191246,-0.49280247,1.553109,-0.31741604,-3.8024368,-2.502287,1.8423437,-0.46486428,4.1951528,2.2579787,-1.5414528,-1.4719286,-0.71873343,-0.75782627,-0.1638011,-0.5906191,-3.5563073,0.5429371,1.6247562,0.43070385,-3.2439375,1.0278685,2.3807085,0.8435383
22-rdf-syntax-ns#type_reverse,-1.3163303,-1.0670229,-1.3768128,-0.8001589,0.6152449,-0.089619316,-0.89884216,1.095094,-0.8306629,-1.5632019,0.60234994,1.7649456,-0.7517505,2.552158,-0.77414733,0.42440155,-0.09123684,-1.01596,0.20225458,-0.8649128,0.9877801,-0.00022334224,-2.2185302,-1.35558,-1.328698,-1.1226647,1.0769165,0.85377127,0.37524253,2.448509,-0.40448844,-0.87899673,0.5887461,0.40024403,-1.0156547,1.3590196,-0.12494932,-1.2607971,-0.21442913,0.5553702
ontology#exists,1.436392,1.4453251,0.6903412,0.6588405,-1.208667,-0.10290484,-0.2888887,-0.6425066,1.8314061,0.29831964,-0.61849475,-0.14871648,0.81083524,-1.4359789,0.0070866607,-1.2814292,1.4551917,1.9213911,-0.7899682,-1.0491734,0.5540197,0.504218,0.09497906,0.16706358,-0.77779835,-0.18679951,-0.39140585,-0.43664697,-2.8308885,1.0573933,-3.7028997,-0.36572596,-0.40636835,-1.102033,-0.14275342,-1.2013457,-0.22989826,1.1086909,-0.811799,2.1727161
ontology#exists_reverse,0.9957916,-0.5043795,0.17126553,1.4887264,-1.9940721,-0.96589905,-0.71435565,-2.066079,1.3465745,0.1643135,-0.2982215,0.19065902,0.7765428,-0.9963948,0.6599142,0.13987502,0.86504287,0.5293552,-1.0499058,0.6148053,-0.5754921,-3.8780646,0.22305922,-0.018300764,2.7597075,-0.82379854,0.021319984,-0.32950324,0.7425201,0.80621254,0.12505656,-0.47819665,-0.682806,-0.8515247,-0.06478386,-1.2757587,-0.15679207,0.012234271,-0.21606176,-0.37449986
ontology#hasCategory,-0.34693953,2.0383584,0.16211057,-0.32731134,-1.0827671,-1.6344837,1.3433319,0.29451644,1.9661496,-2.0389903,-2.58771,-1.4190156,1.7000719,-0.62238806,-1.8965805,1.4444052,-2.02341,2.2448587,0.7607981,-1.1233667,-1.1323128,1.029098,-0.061470583,0.5041461,-0.5918117,1.6467202,-0.96272236,-1.0838861,0.70773476,-1.9505976,0.16570187,1.7075583,1.3093144,-1.3986447,0.60696715,-1.842296,1.3641459,5.418665,0.96383506,3.2124162
ontology#hasCategory_reverse,-1.0212831,2.3017976,-2.2680027,-0.9429012,-1.4791224,-0.065398246,-0.3761242,-0.38786918,-2.493521,2.7774167,-1.2090621,-1.5544721,-2.0608912,0.5917059,3.6724827,-2.3322484,-1.2983855,-0.16674413,-1.522754,3.044902,-1.2802203,1.1988689,-0.22576815,-1.9697884,0.3425428,-1.460026,1.2099222,2.294231,1.6300383,-2.6126678,0.94980836,2.336429,-1.6700597,1.9561965,-1.4764334,0.0019010637,2.2807324,-0.84814703,-0.81195456,-1.7928156
