,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
22-rdf-syntax-ns#type,0.27148995,0.62283033,-0.65649116,0.79995096,-0.5000414,-1.2691427,2.607022,1.4210476,-0.08641656,0.26744297,-0.42312902,-0.5842624,0.11425562,0.8929786,0.2364686,-2.1146333,-0.2314911,0.30938464,0.7846199,-1.1411909,0.31619918,-0.9033956,0.48857826,-0.23021449,-1.1102412,-2.3001378,0.15564615,3.0030053,1.0462366,1.5485122,-0.26994106,-0.9977927,1.0908265,0.13867773,-0.0082286,-1.1543819,0.41206348,1.6034049,1.0217707,-1.1666284
22-rdf-syntax-ns#type_reverse,-0.37597993,-0.59337676,-1.0164216,-1.2098272,-0.5643973,-0.79106945,-0.55354214,0.3736818,0.701324,-0.3304664,0.263401,-1.1531274,-0.25941053,0.5068561,-0.03172092,-0.19148311,-0.85785764,-0.7106428,0.3486809,-0.78778267,0.99175704,1.6493769,0.051921807,-0.088677615,0.33781147,-0.7996455,-0.24051622,0.22074623,-0.14846027,-0.40200734,0.28737864,1.447505,0.9065033,-0.35159308,-0.31259605,-0.22555056,0.39083347,-0.25767002,-0.49767464,0.43381524
mutagenesis#act,0.28867328,1.3328184,-0.4811627,0.44540766,2.5835702,-0.89822763,0.8452805,-0.79804903,0.10066665,-1.7633603,-0.2025495,-0.25945547,-1.0450937,-1.8683857,0.46431634,-2.4120286,-0.50672686,-3.1458023,-0.9849967,-0.6834327,0.032121506,-1.4829837,-0.45940357,-0.54308176,1.1126255,0.41682336,-1.4430773,0.49717042,0.037960816,-1.2639855,-0.40252078,-0.9075777,-0.99780077,1.3470684,-0.18862106,-0.0065950705,1.135928,-1.9479829,-0.26420975,-0.8806883
mutagenesis#act_reverse,0.5459272,0.23096187,0.23790035,0.47618273,-0.3636572,0.2646535,0.29539043,-0.48769698,0.5227061,0.5163676,1.4132833,0.4279517,-1.3492013,-1.6641175,2.112441,0.3863063,0.27879456,-1.8476098,-1.137614,1.1701492,-0.83001614,0.015809061,1.6841582,-0.47371545,-0.122774854,1.0025504,0.59618336,-0.1656792,0.9954097,-0.81613934,1.0584283,-0.030469174,-0.5046316,-0.15042566,0.97626257,0.8286079,-0.4471695,-0.8197211,-1.3789161,0.73651165
mutagenesis#charge,0.25455207,-0.3981233,0.6745764,0.5280445,1.5840681,-0.5294157,0.15810932,2.392559,0.24605806,-0.8437185,-1.4174998,0.7851008,-1.4079897,-0.7227979,0.9229207,-0.94156694,-0.056146692,-1.5053194,0.75446945,1.1416471,-0.32007965,0.09701998,-0.3828885,-0.0050726696,1.5435945,0.08396725,0.48632416,1.3876166,0.8667862,-0.5652814,0.21268064,-0.9186392,-1.2220672,0.771825,-0.85305303,1.7483622,0.24456002,-0.64682406,0.5135257,0.76836497
mutagenesis#charge_reverse,0.77012676,-0.13048021,1.6413379,-0.4197452,0.12291768,0.47867653,-0.41293788,-0.8595509,0.5835723,1.1581234,-2.938612,1.1051064,1.3739139,-0.96116275,1.4824864,0.8130996,-1.0883422,0.722881,0.75957066,-0.11296057,-0.3012638,0.8576164,-2.5722282,1.6560749,0.22029911,1.6808914,0.78693694,0.44410735,0.39785704,-0.2861868,-0.8784846,-1.1399357,1.0099728,0.4806232,1.5711613,-1.0686964,0.5789618,0.19395965,0.36046234,0.2296303
mutagenesis#hasAtom,0.9860678,-0.7763109,1.1061937,-0.50759894,0.09666645,0.52279866,0.6506635,-1.1946936,0.3752702,-0.52676785,1.3632841,1.5692565,2.1141677,-1.8516607,1.4140254,0.8985691,-0.41448936,0.07460371,0.40639392,-0.579777,-0.4140574,0.69088095,1.4285156,2.5654662,-0.33210254,0.67206275,0.2605566,-0.25582382,1.5491811,-1.124555,-0.3076729,-1.4269089,1.4660938,1.3282843,-1.086726,-0.015860882,-1.3908571,-0.8012925,0.6774561,-0.41582295
mutagenesis#hasAtom_reverse,0.38269162,0.58933455,-0.45322657,0.42914438,-0.3814674,0.5213638,0.22063166,-0.76280695,-2.5347886,-1.7258954,0.98347014,0.5727648,-0.93229365,-0.60956013,1.2674136,-0.058354046,0.81481695,-0.59068596,-1.5664129,1.6076428,-0.78512514,-0.048934154,-0.59783995,-0.9575648,-0.48017654,0.6051391,-0.86806047,-0.74359775,-1.299346,-0.07722996,-0.235626,-0.007226689,-1.3375012,0.17793594,0.88146627,1.2496032,-1.9422872,1.5358523,-1.0156596,0.5674134
mutagenesis#hasBond,-1.6693168,1.3360224,2.7747529,-0.22789647,1.3980916,1.2356517,-0.07296267,-0.3046121,0.19870794,1.2712159,0.49373505,1.1400316,-1.2570204,0.605438,-1.1403939,1.1151634,2.0823348,0.28380084,-0.75852984,-1.3310478,-1.4102203,0.7196705,-0.50779635,1.3891746,0.9837644,0.8084202,1.3053764,-0.29536453,1.52856,0.45520735,-1.6505804,0.8920532,0.35854387,-0.32280853,0.19870257,-0.25432277,0.18919554,-0.635346,0.17065775,-1.3538481
mutagenesis#hasBond_reverse,1.0055488,-0.6813992,0.5697215,1.3106683,-0.39021793,0.12757115,1.5246775,-0.6132392,-0.16646452,-1.3225335,0.25627095,0.7086571,-1.1718435,-0.6529537,-1.0944381,-0.16596241,1.7819662,-0.8583993,-1.5804415,1.1740247,0.879656,0.25402537,0.82349616,-0.2880801,-0.66446185,0.49491656,0.9287378,0.41889152,-0.27901548,0.37258402,0.91548854,0.17136538,-0.87450033,0.7039078,-0.1966974,1.5544413,-1.5728518,0.8955458,-1.2103201,0.6555872
