,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
 a companion of Paul's who sent greetings to the Roman church,-0.29050156,0.294896,0.011327499,-0.23120338,0.25349644,0.42977527,-0.25625518,-0.2364906,0.19541144,0.24112132,-0.05909932,0.09898033,0.22602354,-0.49497628,-0.23250501,0.4836328,0.1392775,0.15592705,0.5332198,-0.37100005,-0.06332191,0.16196905,0.13954413,-0.12706335,0.3320962,-0.011662835,0.11604705,-0.101771384,0.29571983,0.34295216,-0.482062,-0.19905768,0.18236715,-0.43295866,0.027731767,-0.06696449,-0.31310114,-0.39173788,0.052341264,0.33129066
"""Chloe's people"" are mentioned in 1Cor.1.11: so while they were clearly Christians who knew the church in Corinth, nothing more specific is known about her. She may have resided in Ephesus instead of Corinth. ",-0.38067356,0.16904952,-0.3768226,-0.32693115,0.21029162,0.083333164,-0.49652994,0.18517673,0.18806744,0.27001426,-0.12840167,0.16509965,0.1365298,-0.45109475,-0.23697588,0.4049603,0.37141496,-0.062371414,0.1655733,-0.34498078,-0.11096488,0.2130859,0.13580771,-0.11704449,0.2616063,0.04414396,0.14207213,0.039437074,-0.10601828,0.02306169,-0.46657893,-0.3339733,0.3260937,-0.31955606,0.14848748,-0.055510692,-0.5013012,-0.5450653,-0.10267804,0.09611289
"""Eli"" is Aramaic for ""My God"". ",0.020129956,0.19193101,0.11798076,-0.32581508,0.084357746,0.17941074,-0.13869993,0.7688108,0.32981062,0.35609853,-0.11049164,0.037078567,-0.073846765,-0.5114555,-0.42423922,0.164266,0.19522442,0.019118123,0.31008223,-0.4950317,-0.11527378,0.3353755,0.17173451,-0.10190521,0.18105198,0.022654898,0.31720367,-0.05073344,-0.25860927,-0.0041150344,-0.5863978,-0.16791281,0.40357912,-0.2874464,0.13279226,0.16817325,-0.29966214,-0.4619762,-0.10399476,0.104355805
"""The name is a contraction of Cleopatros, not identical with Clopas of Joh 19:25."" (ISBE) Jerusalem could have been his place of residence. ",0.015664073,0.4067202,-0.42618802,-0.36054844,0.21389988,0.25396925,-0.38530463,-0.18032628,0.17634931,0.27584082,-0.122336075,0.039220944,0.40336946,-0.3086467,-0.08103969,0.17042866,0.32276785,0.06881758,0.14155866,-0.6197693,-0.0865027,0.211704,0.0034341747,-0.08819425,0.41674027,-0.0012741277,0.27869117,0.27963015,0.13943961,0.021551516,-0.4427143,-0.2921745,0.29727134,-0.37173736,-0.015042217,0.19976561,-0.32733017,-0.5572558,-0.030877877,-0.025047168
"""kinsman"" here probably means that that he is a Jew, rather than an actual relation, given the number of people so designated in Romans 16. His residence in Corinth follows from the inference that Paul resided there when he wrote the letter to the Roman church.  ",0.0100111235,0.3132572,-0.1526535,-0.358281,0.40522438,0.13324594,-0.48523596,-0.2470216,0.12330867,0.23879677,-0.12412835,0.43298233,0.34949374,-0.35829252,-0.4153486,0.56525505,0.17894872,0.04394757,0.41295058,-0.5313827,-0.10018867,0.17210105,0.000110298,-0.0967948,0.16113026,-0.11691694,0.07621068,0.2254008,0.1477943,0.10023216,-0.46571264,-0.14572819,0.20075767,-0.5081758,0.09572881,-0.06166217,-0.0066268397,-0.5247411,0.091254115,0.19133833
"""the beloved"" to whom John addresses his third epistle",0.064614944,0.21671201,-0.05821223,-0.42651525,0.1260145,0.42858413,-0.45496443,0.20164713,0.40175343,0.35284653,-0.05611869,0.09293314,-0.026983183,-0.17403105,-0.41657135,0.07695685,0.055026673,0.071562275,0.19351004,-0.56886023,-0.012915709,0.22346929,0.036623426,-0.0071947793,0.40712237,-0.017595695,0.16591597,-0.06705024,0.43463835,0.3293266,-0.5574282,-0.22547859,0.55783534,-0.052926473,0.098745,0.061162557,-0.15433724,-0.34321147,-0.054817695,0.14157867
0,0.64756334,1.0538138,0.029319327,-0.99455976,0.27475172,-0.028252864,-0.057823453,0.41980088,0.8483148,0.23789112,0.27743268,0.867381,-0.18074894,-1.8002772,-0.05826797,0.2438444,-0.21027775,-0.5946381,0.033836953,0.08938298,0.2656719,0.482271,1.0114301,-0.37282333,0.44552827,-0.11751761,-0.13797428,-0.1326303,-0.07968645,-0.33609402,0.23014985,-0.90056527,1.1870239,-0.565806,0.140742,0.7686356,-0.50058526,-1.3464526,0.2000583,-0.10294773
1.0,0.10977804,0.24008508,-0.35414493,-0.26076922,0.4397877,0.42639786,-0.2087604,0.114294425,0.1654548,-0.2439232,0.06320068,0.29647422,0.11454608,-0.17253187,-0.29486138,0.38691673,0.46172017,0.17231405,0.496406,-0.41276962,-0.0031681997,0.3151447,0.20452493,-0.197398,0.32952157,-0.13132085,0.1311435,0.06976536,0.27533323,0.5915441,-0.25847495,-0.25688818,0.0006352084,-0.09343942,0.102757744,0.15006287,0.12701643,-0.4519654,-0.14718722,0.23536266
14.24733299483093,-0.01580161,0.31586593,0.103201084,-0.281169,-0.0027390115,0.30877405,-0.21058466,0.53733295,0.45363727,0.0581895,-0.0649139,0.24218206,0.24850526,0.12815508,-0.31086972,0.24993083,-0.00171587,0.0001653082,0.3001212,-0.40237463,-0.0791905,0.18119884,0.30213252,-0.026897725,0.24758142,-0.08941304,0.20917441,-0.3496044,0.4728965,0.37737098,-0.47754192,-0.24198976,0.38435015,-0.45795628,-0.010411855,0.19018143,-0.50772685,-0.5413468,-0.117230594,0.0042417753
14.53243601407711,0.20597176,0.2697387,-0.2295465,-0.15596566,0.4341651,0.43931845,-0.20906726,0.16507713,-0.325181,-0.06932583,-0.024820542,0.12619041,0.23200876,-0.5342827,-0.32667354,0.61268026,0.2449403,0.09445123,0.31301528,-0.29420587,-0.059245303,0.23604482,0.3073138,-0.11826384,0.061567016,-0.13364416,-0.0004880877,-0.12896307,-0.09300967,0.36163646,-0.5733258,-0.21351565,0.31948704,-0.012420437,-0.026124788,0.23470955,-0.12504679,-0.63822633,-0.06786293,0.13698335
15.29666086592392,-0.26517257,0.3267607,0.11702275,-0.34266284,-0.16525947,0.41151878,-0.34483024,0.46524346,0.116768606,-0.06847163,-0.047527336,0.06647956,0.28663075,-0.3042306,-0.28372866,0.19441096,0.10460938,0.2659219,0.33965018,-0.29784727,-0.61924493,0.41325173,0.25687402,-0.11940544,0.52511877,-0.15324055,0.09786592,-0.20283818,0.11609975,0.2553429,-0.32171023,-0.26318476,0.21808858,0.08987415,0.14023164,0.042938456,-0.49827024,-0.6173578,-0.20115851,0.016909404
15.64606604911537,-0.09588512,0.2844322,0.2605362,-0.34155202,0.55173266,0.34046602,-0.47249064,0.51491684,0.22488093,0.049508426,-0.10099119,0.047657073,0.15841556,-0.25315067,-0.27213565,0.34873265,-0.0023738907,0.061432965,0.35609612,-0.32761675,-0.4308566,0.13210712,0.098591164,-0.041291833,-0.014882252,-0.1502443,0.11677175,-0.37341774,0.29232594,0.287139,-0.44941434,-0.23340914,0.34930113,-0.1552203,0.07521406,0.042698514,-0.51751757,-0.5088299,-0.3155365,-0.016189747
