,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
22-rdf-syntax-ns#first,0.24978165,-0.26543146,-0.12291625,-0.23252042,-0.53061354,0.03550128,-0.34260234,0.4455871,-0.37627247,0.21482629,-0.20229167,0.36679295,-0.49791297,-0.2877646,-0.3093675,-0.04071634,0.0908997,0.19074039,-0.3482665,-0.39487007,-0.79230696,0.19522873,-0.070212014,-0.56147486,0.10534914,0.5915179,-0.04636826,-0.41570556,-0.44352227,0.5015268,0.19605625,-0.4600947,0.40005702,-0.4548604,-0.040484373,0.04566765,-0.055690955,-0.14349581,-0.26171246,0.45679754
22-rdf-syntax-ns#first_reverse,0.48727256,-0.21268421,-0.1744599,-0.46895686,-0.384244,0.84127104,-0.25957093,-0.5372056,-0.29119208,-0.25035182,0.19437374,0.30141747,-0.24571563,-0.1566732,-0.06896302,0.29996327,-0.27668372,0.45713177,-0.6025815,-0.5249817,0.52770823,-0.2922549,0.3238147,-0.12254544,-0.2921525,-0.5890091,0.33051145,0.5023569,-0.28652567,-0.07679635,-0.58164847,-0.20487188,-0.61391807,-0.06621663,-0.23611468,0.08987814,-0.7140013,-0.68922645,0.21266586,-0.63037604
22-rdf-syntax-ns#rest,0.28536442,0.23781489,-0.118342035,-0.041838717,-0.059905823,0.5462857,-0.68978745,-0.51851785,-0.13850953,-0.36819986,0.034382258,0.024116937,-0.36908284,0.19963343,-0.013426372,-0.11675149,0.35748512,0.107638784,-0.1291229,-0.31396827,0.17034313,-0.24172975,0.8453313,-0.008053384,-0.20734972,-0.37082955,0.41071197,0.117272764,-0.3194771,-0.30786774,-0.52596205,-0.1718245,-0.4540079,-0.28696096,-0.03757743,-0.3691591,0.56001717,-0.007990389,-0.31232998,0.21129863
22-rdf-syntax-ns#rest_reverse,0.2763464,0.07264031,-0.5317,0.2127128,-0.0073493547,0.43969926,-0.27083516,-0.51149803,0.009870763,-0.30318546,-0.09780272,-0.09343964,-0.27231976,-0.01693496,0.04225759,-0.15714605,-0.4634922,0.42509454,0.019190902,-0.5558834,-0.38886473,-0.21076503,0.6594678,-0.32191163,-0.110335,-0.56859034,0.18353167,0.1832411,-0.08398077,-0.087012544,-0.67061526,0.00027589832,-0.43266103,0.12154745,-0.2507924,0.48248845,0.070207216,0.08528241,0.18962494,0.4691017
22-rdf-syntax-ns#type,0.007723272,-0.13861534,-0.29271466,0.07419555,0.39816523,0.17498346,-0.056454316,0.56362456,0.0938518,-0.29939342,-1.3852903,0.39022285,0.17410369,-0.32066652,0.979799,-0.47014996,-0.26481354,0.17047559,0.5643998,0.0076672207,-0.5089473,0.029864294,-0.027522571,0.01622837,-0.35387734,-0.71232086,0.55070627,0.05702672,0.15967135,0.44926953,0.3582886,-0.24616456,-0.18922456,-0.15954697,-0.6125373,0.65163124,0.20545049,-0.23115963,-0.432039,-0.4243201
22-rdf-syntax-ns#type_reverse,-0.18045522,-0.4846652,-0.5797359,-0.2759904,0.63024276,0.5120979,-0.06794943,-0.046271138,0.55635464,0.65344816,0.1469747,0.21998827,0.0505197,-0.1578842,-0.0759423,-0.19473659,-0.28943726,-0.16781886,0.03559784,-0.30482498,0.48352244,0.14698726,0.27320617,0.29014623,0.21018657,-0.12620965,-0.10770917,0.30222964,0.15778069,-0.38079473,0.04292778,0.568336,0.42913526,-0.30111542,0.024277834,-0.22568393,0.73078704,-0.12408555,-0.02625436,-0.02466769
NTNames#altitude,0.08535492,0.06926966,0.11536836,0.7395866,-0.12407611,-0.3860067,-0.74297285,-0.21705985,0.05881387,-0.5705638,0.15882342,0.4147001,-0.32389256,-0.13072942,0.14155157,-0.050245166,-0.15822546,-0.82300395,0.05965806,0.6843023,-0.2864233,-0.18688144,0.17623518,-0.20575956,0.1748907,0.11659588,-0.19208194,-0.16879283,0.28012785,0.15418361,-0.31062946,-0.11842836,-0.33983675,0.6351825,-0.2341506,-0.3060419,-0.06464487,0.18606584,-0.32662165,-0.594777
NTNames#altitude_reverse,0.10013109,0.2368022,-0.48259303,-0.2866687,0.6708753,-0.072585225,-0.39636564,0.59389555,0.25488803,0.75376135,0.18369631,0.5560196,0.029718664,-0.6781784,0.4463284,-0.38948366,0.2732886,-0.34718674,-0.54589564,-0.43194824,0.44242406,0.319323,0.26307502,0.290716,0.3999513,-0.17700742,0.5475682,-0.4755041,0.07257339,0.10531724,0.05710894,-0.324164,0.16583183,-0.4742132,0.1310014,-0.39569443,0.2911758,0.32981846,0.86580247,0.05590364
NTNames#antagonistOf,0.20370446,-0.119973145,0.122906744,-0.18500061,-0.3492518,0.11227449,0.19699487,-0.03516652,-0.16094366,-0.037154302,0.45153594,0.041446034,-0.48250487,0.17478225,0.0568177,-0.062671706,0.16338792,0.28633547,-0.312263,0.26933336,0.082581826,0.02112476,0.39061907,-0.3215318,0.3491966,0.12113021,-0.4218907,-0.44591236,-0.048343614,-0.42899004,0.449552,0.28279608,-0.0693361,0.5564319,-0.11520224,0.085752144,0.103631094,-0.052307233,-0.331851,-0.10930253
NTNames#antagonistOf_reverse,-0.06831219,0.027591089,0.03304507,-0.36592737,-0.20731714,-0.029729964,0.43263772,-0.26222524,0.39115864,0.04208667,0.017834669,-0.35625893,-0.11758153,0.008869993,0.18498422,-0.37645426,0.22079256,0.24196738,0.12278716,0.37624815,-0.13722846,0.11727486,0.6542471,-0.12425009,0.24075538,-0.5306802,-0.060163945,0.2794647,-0.10056284,-0.34450153,0.089867435,0.27175352,0.062051345,0.28242812,0.13108882,-0.07235976,0.11664962,0.01606991,-0.5751632,0.3951095
